[run number],detection_sick_people,security_measures,deterrents,proportion_retired,people,_network_type,_nodes,proportion_paranoid,proportion_worker,infectious_rate,duration,discovery_type,lockdown_type,proportion_student,stability-factor,proportion_skeptic,[step],n_of_death,days,count turtles with [spreader? = true],count turtles with [color = gray],count turtles with [notp? = true],Neg_student + Neg_retired + Neg_worker,count turtles with [color = gray] + n_of_death
8,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,781,0,40,12,22,117,2704.75,22
7,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1001,8,51,15,392,200,11130.5,400
3,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1021,7,52,28,332,212,9688.5,339
4,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,9,54,6,279,68,8646.75,288
6,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1141,4,58,11,318,106,10618,322
12,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,12,55,19,343,133,10832.75,355
11,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1281,10,65,11,345,115,13958.5,355
10,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1281,2,65,18,292,114,12118,294
5,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1301,9,66,7,322,72,11764.25,331
2,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1341,8,68,11,304,121,10789,312
9,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1401,9,71,15,360,122,14642.5,369
1,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1401,11,71,9,309,94,15133.5,320
13,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1241,6,63,8,303,105,11316.75,309
20,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,921,5,47,14,269,123,7287.75,274
19,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,921,11,47,31,387,283,9523.5,398
16,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,5,55,13,328,93,11027.5,333
14,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1261,12,64,24,367,231,11616.25,379
15,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,8,62,10,358,116,12895.5,366
23,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1081,14,55,31,380,294,12098,394
21,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,10,62,13,347,139,11993.75,357
17,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1421,5,72,11,285,94,13278.75,290
22,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1261,3,64,8,324,66,11468.5,327
24,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1061,7,54,30,397,247,10706.75,404
18,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1781,6,90,7,332,79,20848.5,338
25,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,4,62,15,296,97,10826.75,300
28,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1141,3,58,11,332,85,11738.5,335
27,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1201,6,61,22,317,143,10738.75,323
26,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1221,4,62,13,303,94,12857.25,307
29,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,1161,13,59,13,283,124,10758.25,296
32,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,881,9,45,26,397,291,9679,406
31,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1161,11,59,2,308,87,10669.5,319
34,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1081,8,55,10,331,96,10710,339
36,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1241,9,63,26,406,230,11619,415
35,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1081,7,55,9,332,103,10313.5,339
33,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1801,9,91,19,356,143,20400.5,365
30,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired,18,200,12,2041,12,103,9,271,75,16005.25,283
40,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,961,11,49,11,361,97,9777.5,372
38,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1061,11,54,12,279,85,9147.5,290
41,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1021,11,52,13,375,108,9917,386
37,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1901,6,96,13,297,93,19536.5,303
39,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1581,5,80,19,359,129,18036,364
42,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1521,6,77,5,327,65,17180,333
44,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1161,9,59,3,328,84,11468.5,337
43,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1701,4,86,7,332,94,19680,336
45,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1401,3,71,11,284,94,11361,287
46,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1181,7,60,7,333,82,11278,340
48,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,961,13,49,32,387,235,9653,400
47,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1261,7,64,9,334,96,13504.5,341
50,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,861,10,44,25,361,278,8527,371
54,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,601,0,31,10,14,94,1771,14
49,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1361,7,69,6,298,87,11472,305
56,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1001,9,51,14,367,103,10592.5,376
55,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,981,7,50,9,295,93,8369,302
52,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1141,8,58,14,322,77,10418.5,330
51,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,2001,5,101,9,288,96,14320,293
59,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1161,12,59,9,343,117,11525,355
53,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1741,12,88,36,397,282,22682,409
61,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1161,5,59,9,275,95,7878.75,280
60,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1261,16,64,18,387,186,13322,403
57,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,1861,8,94,15,312,147,16776,320
62,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1341,13,68,13,331,104,10148,344
63,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1021,10,52,14,334,123,7042.75,344
64,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,901,11,46,9,327,61,6429.25,338
66,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,981,5,50,20,336,132,7420,341
65,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1061,6,54,14,315,122,7673.75,321
58,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_student,18,200,12,2681,4,135,24,349,143,31070,353
68,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1301,1,66,14,282,90,8636.75,283
69,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1161,9,59,22,369,196,10492,378
71,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1181,8,60,8,296,99,7966.75,304
72,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,981,9,50,23,377,200,8272.75,386
75,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,921,8,47,18,310,119,6524,318
70,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1361,10,69,8,364,113,12634.25,374
73,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1301,13,66,16,341,104,9271,354
76,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,981,12,50,21,369,190,7971.5,381
77,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1061,11,54,8,343,106,7100.25,354
67,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,2541,8,128,13,394,150,30135.25,402
74,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,2061,4,104,20,373,131,23234.25,377
79,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1101,9,56,12,343,89,8775.75,352
78,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1261,9,64,6,340,69,9006,349
80,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1281,5,65,8,328,72,7780.75,333
81,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1161,8,59,11,333,89,9268.75,341
84,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1101,7,56,7,331,90,8210.25,338
82,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1581,2,80,7,245,95,9556.5,247
83,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1321,7,67,14,338,128,11482.75,345
86,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1221,6,62,12,306,113,7641.25,312
85,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1321,11,67,10,332,84,10013.5,343
88,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,921,11,47,12,320,82,7125.25,331
89,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,901,14,46,28,411,295,7908.25,425
87,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1421,7,72,10,317,88,11450.75,324
90,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,none,18,200,12,1121,8,57,12,314,96,7829.75,322
91,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1101,13,56,22,371,200,13514,384
92,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1241,7,63,17,318,162,13828.5,325
94,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1181,13,60,13,259,94,12093.5,272
96,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,961,5,49,10,286,111,10978,291
95,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1081,8,55,20,348,168,13799,356
93,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1641,10,83,7,311,69,20077.5,321
97,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1321,6,67,9,278,88,13788.5,284
99,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1301,8,66,10,297,78,15124,305
100,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1221,9,62,15,328,119,14624.5,337
102,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1061,7,54,25,358,172,14164.5,365
98,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1781,9,90,14,292,113,21321.5,301
104,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1101,8,56,11,240,83,11879,248
101,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1541,4,78,8,304,82,16201,308
105,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1241,4,63,10,355,83,14747,359
106,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1141,3,58,16,324,122,13020.5,327
107,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1421,6,72,5,340,97,15597,346
108,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1421,6,72,18,306,162,16186,312
103,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1901,7,96,11,254,101,20053.5,261
110,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1281,6,65,12,328,96,15822,334
109,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1381,5,70,14,334,127,16994,339
113,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1121,7,57,9,316,90,12845,323
114,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,941,6,48,14,304,107,10063.5,310
115,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1441,4,73,11,228,83,13542,232
112,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1821,12,92,11,304,95,20994,316
120,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,781,8,40,39,351,264,9781,359
119,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1121,4,57,12,309,156,11550.5,313
111,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,2221,4,112,5,327,96,30262,331
121,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1121,7,57,15,218,90,16586,225
117,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,1841,7,93,26,365,241,26662.5,372
116,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,2001,8,101,7,285,75,19381,293
122,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1221,4,62,7,253,96,18709.5,257
124,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1281,0,65,10,161,77,18408,161
127,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,701,0,36,16,30,151,9567,30
118,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,lockdown_retired+student,18,200,12,2421,7,122,13,313,137,31873.5,320
129,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,801,0,41,21,23,165,9336,23
123,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1801,1,91,12,144,99,26690,145
132,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,741,1,38,14,60,142,10217,61
134,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,681,0,35,17,33,92,8039,33
126,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1461,6,74,10,198,106,20396.5,204
137,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,781,0,40,10,28,91,8331,28
125,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1821,1,92,10,214,115,26068.5,215
130,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1561,7,79,11,211,139,22938,218
128,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1841,6,93,16,206,151,26970,212
136,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1101,7,56,10,211,150,16436.5,218
139,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,861,1,44,12,20,104,11640.5,21
131,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1761,6,89,13,208,138,26170.5,214
133,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1541,4,78,14,223,110,23994,227
138,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1181,6,60,14,303,209,16851,309
141,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1061,5,54,15,242,111,16188,247
147,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,681,0,35,10,28,115,8043,28
135,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,2021,5,102,14,228,99,31722.5,233
142,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1281,0,65,13,119,101,18539,119
140,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1701,7,86,6,260,114,25290,267
151,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,601,2,31,10,29,95,10924.5,31
144,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1501,8,76,14,220,134,22680.5,228
152,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,601,0,31,18,14,118,9315,14
153,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,501,1,26,21,21,194,9311,22
143,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1601,5,81,4,247,94,24274.5,252
148,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1321,5,67,19,310,196,20692.5,315
154,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,441,0,23,10,9,68,6885,9
146,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1621,5,82,6,263,89,26303,268
156,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,501,0,26,14,13,78,8910,13
145,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1741,4,88,14,189,96,24817.5,193
150,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1401,2,71,16,212,113,19511,214
149,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,essential_activities,18,200,12,1561,5,79,8,232,88,24335,237
157,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,501,0,26,12,20,100,9720,20
159,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,481,1,25,15,14,135,9715.5,15
161,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,361,0,19,10,7,85,6075,7
158,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,661,0,34,9,33,83,13365,33
160,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,501,0,26,8,10,93,7695,10
163,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,561,0,29,10,14,86,10125,14
166,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,361,0,19,9,9,93,6480,9
164,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,661,0,34,34,53,242,12960,53
167,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,421,0,22,15,14,95,8505,14
168,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,401,0,21,13,6,114,5670,6
162,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,801,0,41,10,31,125,15795,31
165,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,641,1,33,18,29,164,12147.5,30
169,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,541,0,28,16,11,118,9315,11
172,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,521,0,27,20,10,207,8910,10
155,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1641,0,83,11,45,120,30780,45
173,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,561,0,29,7,10,79,8910,10
175,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,361,2,19,16,4,157,6073,6
170,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,781,0,40,10,24,96,14175,24
177,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,441,0,23,14,7,124,6480,7
176,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,501,2,26,9,19,75,10116.5,21
174,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,621,1,32,12,20,113,11738.5,21
178,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,581,0,30,36,15,272,10935,15
171,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1061,0,54,15,35,162,19035,35
180,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,561,1,29,16,20,139,10929.5,21
179,true,true,true,29,500,small-world,500,12,53,2,14,standard_min,all,18,200,12,1341,1,68,14,27,125,25104,28
