"[run number]","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","deterrents","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"149","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","13","19","7","487","72","4666","500"
"154","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","12","18","22","488","231","3818","500"
"152","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","19","489","153","4150.5","500"
"150","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_student","18","200","12","true","361","8","19","9","492","83","4588.5","500"
"151","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","13","19","8","487","161","4215.5","500"
"153","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","9","19","12","491","83","4173.75","500"
"155","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","381","10","20","8","490","68","4082.25","500"
"156","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","5","19","14","495","85","4112.5","500"
"157","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","14","19","8","486","103","3980.75","500"
"158","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","16","18","6","484","89","3763.5","500"
"159","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","17","19","11","483","91","4125.25","500"
"160","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","14","19","19","486","144","4100.75","500"
"161","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","3","489","94","4130.25","500"
"166","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","10","18","18","490","135","3756.25","500"
"162","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","8","19","14","492","118","4044","500"
"163","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","13","19","12","487","89","3985.5","500"
"165","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","18","19","12","482","86","4093.25","500"
"167","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","12","489","102","3896.5","500"
"164","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","20","19","8","480","126","4056.5","500"
"168","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","11","18","15","489","170","3807.75","500"
"169","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","12","18","12","488","83","3873.5","500"
"170","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","30","489","233","4175.75","500"
"171","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","6","19","14","494","127","4156.25","500"
"172","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","18","19","12","482","127","4151","500"
"173","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","15","19","21","485","206","4179.5","500"
"177","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","14","19","10","486","107","4200.75","500"
"174","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","17","19","4","483","67","4235.5","500"
"176","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","11","18","13","489","103","3885.25","500"
"175","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","9","19","13","491","100","4090.75","500"
"178","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","381","13","20","12","487","131","4191.5","500"
"179","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","10","19","8","490","83","4053","500"
"180","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","13","19","5","487","62","4136.5","500"
"181","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","13","19","7","487","84","4103.5","500"
"182","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","9","19","10","491","94","4005.25","500"
"183","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","14","19","8","486","83","4183.5","500"
"184","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","8","19","12","492","97","4177","500"
"186","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","11","489","86","4163.25","500"
"187","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","12","18","7","488","71","3800","500"
"188","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","8","18","5","492","91","3815.5","500"
"185","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","10","19","10","490","98","4006","500"
"189","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","11","19","14","489","188","4004","500"
"190","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","13","18","13","487","113","3862","500"
"191","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","16","18","4","484","56","3832.5","500"
"192","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","12","19","16","488","127","4056.25","500"
"193","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","7","19","6","493","71","3957.75","500"
"194","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","4","18","30","496","216","3830.75","500"
"196","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","341","8","18","5","492","73","3785.75","500"
"195","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","7","19","5","493","85","4127.5","500"
"198","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","9","19","24","491","239","4093.25","500"
"199","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","8","19","18","492","166","3991","500"
"197","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","7","19","17","493","149","4075.25","500"
"200","true","false","29","500","small-world","500","12","53","3","14","standard_min","none","18","200","12","true","361","13","19","20","487","132","4033.25","500"
"201","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","18","22","4","481","78","7861.75","499"
"202","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","14","22","30","486","187","7858.75","500"
"203","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","8","23","4","492","83","8334","500"
"204","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","14","24","16","486","102","8665","500"
"205","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","15","24","8","482","75","8648.25","497"
"206","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","15","24","10","485","107","8673.25","500"
"207","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","14","22","16","486","103","7906","500"
"208","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","7","23","9","493","115","8301.75","500"
"209","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","16","23","15","483","107","8289","499"
"211","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","15","23","16","484","129","8285.5","499"
"213","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","14","23","8","486","90","8264.75","500"
"210","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","10","24","9","489","75","8674.5","499"
"212","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","10","23","17","489","172","8336","499"
"214","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","13","24","9","487","81","8642","500"
"215","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","14","23","17","485","109","8288","499"
"216","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","8","23","24","492","234","7978.5","500"
"217","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","9","23","11","491","83","8331.25","500"
"218","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","10","24","9","490","100","8673.25","500"
"219","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","8","24","17","492","98","8677","500"
"220","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","481","18","25","11","482","115","9008","500"
"221","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","15","24","4","485","64","8697.75","500"
"222","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","14","23","17","486","105","8313","500"
"225","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","11","22","8","488","98","7896.5","499"
"224","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","18","22","23","481","195","7914","499"
"226","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","12","22","17","488","144","7895.75","500"
"223","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","481","10","25","13","490","140","9120","500"
"227","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","21","23","14","479","159","8291.25","500"
"228","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","15","22","14","484","154","7912","499"
"229","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","11","24","16","489","152","8658.75","500"
"230","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","481","17","25","7","482","78","9080","499"
"231","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","11","23","8","489","100","8294.75","500"
"232","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","15","23","23","485","215","8269.75","500"
"234","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","11","24","21","489","196","8680.75","500"
"233","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","9","24","17","490","126","8678.75","499"
"236","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","9","23","14","491","138","8287","500"
"235","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","6","23","16","494","150","8317.5","500"
"237","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","461","6","24","11","494","124","8697.25","500"
"239","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","15","23","10","485","80","8273.75","500"
"238","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","481","13","25","8","487","98","9029.5","500"
"240","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","10","23","8","488","73","8342.25","498"
"241","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","481","9","25","13","491","80","9104.25","500"
"243","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","11","22","21","489","143","7932","500"
"242","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","13","23","30","486","251","8287.5","499"
"244","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","16","23","8","484","77","8324","500"
"246","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","14","23","11","486","129","8270.5","500"
"245","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","8","23","12","492","118","8319","500"
"247","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","11","23","22","489","254","8305.5","500"
"248","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","441","10","23","12","490","94","8333.25","500"
"249","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","10","22","14","490","127","7854","500"
"251","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","12","20","12","488","74","5535.5","500"
"250","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker+retired","18","200","12","true","421","11","22","9","488","84","7911.5","499"
"252","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","16","20","10","484","82","5301.5","500"
"253","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","12","20","21","488","139","5578","500"
"254","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","14","19","7","486","84","5101.5","500"
"255","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","11","19","9","489","82","5075","500"
"256","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","13","20","14","487","92","5581","500"
"257","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","9","19","16","491","171","5140.5","500"
"258","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","11","20","12","489","123","5461.5","500"
"260","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","15","19","13","485","91","5171","500"
"259","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","401","9","21","7","491","119","5573","500"
"261","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","10","20","21","490","143","5614.5","500"
"262","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","6","20","6","494","79","5540.5","500"
"263","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","401","11","21","9","489","94","5840.5","500"
"264","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","9","20","6","491","80","5454.5","500"
"265","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","14","20","13","486","129","5610.5","500"
"266","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","5","19","12","495","97","5229.5","500"
"267","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","17","19","4","483","85","5137","500"
"268","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","14","19","9","486","123","5141.5","500"
"269","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","16","19","10","484","85","5237","500"
"270","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","13","19","10","487","91","5101","500"
"272","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","9","19","16","491","126","5256.5","500"
"273","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","12","19","12","488","96","5209","500"
"271","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","13","20","6","487","86","5591","500"
"274","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","7","19","11","493","126","5230.5","500"
"275","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","11","20","11","489","85","5435.5","500"
"276","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","6","20","12","494","123","5614.5","500"
"277","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","16","20","11","484","120","5598.5","500"
"278","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","10","19","9","490","88","5217","500"
"279","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","17","20","12","483","143","5481","500"
"280","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","6","19","12","494","120","5174","500"
"281","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","9","19","6","491","77","5201.5","500"
"282","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","15","19","8","485","84","5150.5","500"
"285","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","9","20","10","491","81","5370","500"
"283","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","401","11","21","15","489","113","5557","500"
"284","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","421","10","22","16","490","125","5949","500"
"286","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","8","20","11","492","76","5548","500"
"287","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","6","19","5","494","88","5230","500"
"288","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","12","19","14","488","128","5255.5","500"
"289","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","10","20","20","490","187","5545.5","500"
"290","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","401","14","21","8","486","113","5973","500"
"291","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","7","19","22","493","122","5254","500"
"292","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","14","19","5","486","116","5245","500"
"293","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","17","19","17","483","165","5136","500"
"294","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","13","20","6","487","69","5642","500"
"296","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","12","20","23","488","160","5565.5","500"
"297","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","361","10","19","11","490","90","5152","500"
"298","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","12","20","15","488","147","5599","500"
"295","true","false","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired+student","18","200","12","true","381","11","20","14","489","103","5581.5","500"
